    | Name                                 | Type                 | Params
204 | classifier.mnet.features.17.conv.1.2 | ReLU6                | 0
205 | classifier.mnet.features.17.conv.2   | Conv2d               | 307 K
206 | classifier.mnet.features.17.conv.3   | BatchNorm2d          | 640
207 | classifier.mnet.features.18          | Conv2dNormActivation | 412 K
208 | classifier.mnet.features.18.0        | Conv2d               | 409 K
209 | classifier.mnet.features.18.1        | BatchNorm2d          | 2.6 K
210 | classifier.mnet.features.18.2        | ReLU6                | 0
211 | classifier.mnet.classifier           | Sequential           | 3.8 K
212 | classifier.mnet.classifier.0         | Dropout              | 0
213 | classifier.mnet.classifier.1         | Linear               | 3.8 K
214 | critrion                             | CrossEntropyLoss     | 0
--------------------------------------------------------------------------------
3.8 K     Trainable params
2.2 M     Non-trainable params
2.2 M     Total params
8.911     Total estimated model params size (MB)
